cv-folds,dataset,estimator,estimator_details,omics,train_accuracy,test_accuracy,fss_nogueira,fss_lustgarten,fss_jaccard_index,avg_features,all_features,runs,estimator_alt_name
5,BLCA,SVM_f21,"LinearSVC(C=0.0034867736816406245, dual=False, max_iter=200000, penalty='l1')",__ALL__,0.807367405978785,0.756470722260196,0.555605627009299,0.6000744737993162,0.3887625546194307,16.933333333333334,100451,15,SVM_low
5,BLCA,SVM_f92,"LinearSVC(C=0.010840039062500001, dual=False, max_iter=200000, penalty='l1')",__ALL__,0.9565920211436124,0.821075415812258,0.4662113832330209,0.4801919790829297,0.3053397814121637,90.93333333333334,100451,15,SVM_mid
5,BLCA,SVM_f168,"LinearSVC(C=0.030367382812499996, dual=False, max_iter=200000, penalty='l1')",__ALL__,1.0,0.8324675324675325,0.418161909301562,0.4254416783456707,0.2658264475866271,163.0,100451,15,SVM_high
5,BLCA,LR_f21,"LogisticRegression(C=0.013952209472656248, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,0.8075845565913068,0.756470722260196,0.5589321517444401,0.6044314682377478,0.3917473753595692,16.866666666666667,100451,15,LR_low
5,BLCA,LR_f92,"LogisticRegression(C=0.0479419921875, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,0.9631343976570592,0.8158236500341763,0.4604388299896279,0.4792232934769329,0.3006839649196374,86.6,100451,15,LR_mid
5,BLCA,LR_f168,"LogisticRegression(C=0.18234503784179684, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",__ALL__,1.0,0.8281043517885623,0.4411032868705474,0.462753845485032,0.2845526824198635,153.0,100451,15,LR_high
5,BLCA,Lasso_f21,"MyLasso(C=0.796875, max_iter=2000)",__ALL__,0.8243944426586663,0.7633857370699476,0.5228322242768897,0.551645821193049,0.3574530841714808,21.8,100451,15,Lasso_low
5,BLCA,Lasso_f92,"MyLasso(C=0.91552734375, max_iter=2000)",__ALL__,0.9445923068681024,0.8210412394622921,0.4657356791980359,0.4853497595240155,0.3052714509225839,83.06666666666666,100451,15,Lasso_mid
5,BLCA,Lasso_f168,"MyLasso(C=0.9591064453125, max_iter=2000)",__ALL__,0.998692096146291,0.8202210070631123,0.4178319326579607,0.427295776870966,0.2653333215768521,164.46666666666667,100451,15,Lasso_high
5,BLCA,SVM_f21,"LinearSVC(C=0.02597373046875, dual=False, max_iter=200000, penalty='l1')",cnv,0.7380156434158363,0.6528252449305081,0.4628292734856964,0.5264583191706239,0.3104706733175591,18.53333333333333,57964,15,SVM_low
5,BLCA,SVM_f92,"LinearSVC(C=0.06258749999999999, dual=False, max_iter=200000, penalty='l1')",cnv,0.8856902032215436,0.6989861016176806,0.4104904608620345,0.4339512962407597,0.2605570831416378,87.53333333333333,57964,15,SVM_mid
5,BLCA,SVM_f168,"LinearSVC(C=0.15631875, dual=False, max_iter=200000, penalty='l1')",cnv,0.9866952391156828,0.6823991797676008,0.3601970650960844,0.3739325027072894,0.2217836079763673,178.26666666666668,57964,15,SVM_high
5,BLCA,LR_f21,"LogisticRegression(C=0.10359492187499998, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.7399764277295617,0.6598200045568466,0.467965591717841,0.5395765238283071,0.3128664583596516,19.73333333333333,57964,15,LR_low
5,BLCA,LR_f92,"LogisticRegression(C=0.252002734375, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.8852516161291475,0.6989861016176806,0.4015836460300465,0.4268144633256491,0.2537177622749068,91.8,57964,15,LR_mid
5,BLCA,LR_f168,"LogisticRegression(C=0.5797119140625, max_iter=200000, penalty='l1', random_state=0, solver='liblinear')",cnv,0.9823336547733847,0.6946343130553657,0.3708339204811763,0.3936892985767413,0.2300171519611688,182.6,57964,15,LR_high
5,BLCA,Lasso_f21,"MyLasso(C=0.9697359800338745, max_iter=2000)",cnv,0.7474002642951534,0.6615516062884484,0.461056801396134,0.5156065505853279,0.3052606764648276,19.53333333333333,57964,15,Lasso_low
5,BLCA,Lasso_f92,"MyLasso(C=0.988037109375, max_iter=2000)",cnv,0.8924575877709918,0.6955228981544771,0.3832284339770275,0.4032391430393588,0.238845618186002,94.73333333333332,57964,15,Lasso_mid
